X,Y,Angle,Velocity
-1.18762871623039,0.19711739057675,43.8805389404297,0.277777777777778
1.06493797525764,2.17881033895537,41.9140434265137,1.03888889153798
3.30816263332963,4.17175111966208,43.5399703979492,1.60000006357829
5.51420495286584,6.22077181888744,44.3639221191406,1.25833339161343
7.62646790221334,8.36008679820225,47.8904266357422,1.48333337571886
9.68249955400825,10.5557964616455,47.6377487182617,1.81388894716899
11.7665539346635,12.7177643738687,46.5940818786621,1.88333339161343
13.8976800069213,14.8456757310778,46.4842185974121,1.49444447623359
15.9537091031671,17.041386524681,48.6704330444336,1.61111116409302
18.0659678019583,19.1807034416124,45.682243347168,1.37777778837416
20.2155904211104,21.2750312872231,45.4735069274902,1.39166673024495
22.3467130772769,23.4029442300089,45.2867469787598,1.7833333545261
24.4776516072452,25.5197676089592,47.1653518676758,1.65000001589457
26.5054696090519,27.7381324348971,48.9121246337891,1.41388893127441
28.5519691519439,29.9340029037558,47.4619750976563,1.35000003708733
30.6644060127437,32.0844121188857,46.0777397155762,1.72500001059638
32.82354798913,34.1785849533044,44.5836410522461,2.0861111746894
35.0107126869261,36.2390161389485,43.9244804382324,1.70833335982429
37.1791941449046,38.3219424504787,46.6709823608398,1.48333337571886
39.188141413033,40.5517142759636,48.9231109619141,1.51666667726305
41.1690642535686,42.8152284929529,49.2636795043945,1.44166668256124
43.2250823229551,45.0109442071989,46.9456329345703,1.55833337042067
45.2528927102685,47.2293123621494,49.7250900268555,1.766666703754
47.290043450892,49.4364335392602,46.8138008117676,1.70833335982429
49.4211550317705,51.5643515493721,46.3853454589844,1.6611111164093
51.4960353411734,53.7486640345305,48.7583236694336,1.85833334922791
53.5427079722285,55.9556289450265,45.067024230957,1.91666669315762
55.7111817710102,58.0385587913916,44.7264595031738,1.6750000582801
57.8889959044755,60.1102417195216,44.5726547241211,1.91666669315762
60.0763336159289,62.1817676946521,44.3749084472656,1.85277779897054
62.0949792601168,64.4224761333317,57.2834587097168,2.46111101574368
63.2364642620087,67.1990482946858,77.5526275634766,2.51666678322686
63.524048615247,70.1894029970281,90.6808980107307,2.27499988343981
63.3163628764451,73.1879409081303,97.305456161499,2.09166672494676
62.8795415237546,76.1569858356379,97.7778539657593,1.39722228050232
62.729002725333,79.1545795737766,90.9665340185165,1.4472222328186
62.6929402947426,82.1613748474047,89.9997659999935,1.82500004768372
63.1327320858836,85.1381217068993,76.6517763137817,1.79444445504083
63.9710830040276,88.0195393916219,73.4987945556641,1.68055560853746
65.1125654168427,90.7961117103696,65.5888748168945,1.6611111164093
66.801881890744,93.2863078522496,51.1752433776855,1.83055559794108
68.7734482474625,95.561074056197,49.6921310424805,1.875
70.7730372920632,97.8020986295305,47.7476081848145,1.85833334922791
72.8477213084698,99.9753249003552,48.0442314147949,2.15555561913384
74.8755154050887,102.19369818829,48.3518409729004,2.12500002649095
76.9128330498934,104.411914474331,48.8242378234863,2.29444450802273
78.9781733602285,106.596389180049,46.0997085571289,2.16666671964857
81.1092674508691,108.724312980194,46.1766128540039,1.95277783605787
83.2026295736432,110.875046510715,46.7259101867676,1.77222225401137
85.296174056828,113.036870382726,47.2642250061035,2.11944447623359
87.3615109734237,115.221346606966,47.9673309326172,2.30833344989353
89.3990067392588,117.450655082706,48.6484603881836,2.59722232818604
91.4645251631737,119.646222006995,46.9456329345703,2.67777787314521
93.5578830353916,121.796957443003,46.0667533874512,2.36944437026978
